temperature,humidity,activity,heart_rate,disease
38.58,84.24,7,63,healthy
38.8,70.98,0,107,sick
39.54,77.18,9,85,healthy
38.13,73.6,8,98,healthy
38.96,68.73,3,117,sick
38.42,47.13,3,78,healthy
38.72,63.19,2,117,sick
39.59,71.99,5,87,healthy
38.83,72.1,0,125,sick
38.73,59.92,5,69,healthy
37.75,82.67,1,117,sick
39.22,51.69,8,73,healthy
39.15,65.01,1,74,sick
40.21,72.64,6,92,sick
38.48,72.89,0,76,sick
38.85,70.95,6,83,healthy
38.87,56.01,4,89,healthy
39.8,51.25,7,121,sick
38.63,70.44,3,72,healthy
38.9,68.97,9,121,sick
39.13,52.17,6,106,healthy
38.83,73.21,5,75,healthy
38.39,63.21,4,125,sick
38.84,71.71,3,102,healthy
39.45,78.49,6,67,healthy
37.98,51.79,4,62,healthy
38.79,45.77,4,71,healthy
38.21,76.16,0,75,sick
39.54,69.39,1,118,sick
37.63,72.99,4,108,healthy
38.31,78.53,2,122,sick
38.96,77.11,1,121,sick
39.8,83.44,3,108,healthy
38.65,66.44,3,110,healthy
38.31,64.54,3,92,healthy
40.02,61.08,3,89,sick
37.69,51.15,2,118,sick
37.16,67.9,6,74,healthy
39.01,56.08,8,82,healthy
38.35,81.85,4,104,healthy
37.99,68.33,3,121,sick
39.2,68.71,1,74,sick
38.87,59.2,1,105,sick
38.31,47.08,4,123,sick
37.8,46.27,6,105,healthy
39.31,61.93,9,115,sick
39.16,48.38,9,103,healthy
38.63,69.27,8,88,healthy
39.99,80.24,6,121,sick
37.95,80.32,4,111,sick
37.63,71.36,9,113,sick
38.22,53.45,9,116,sick
38.67,79.52,9,125,sick
38.87,80.44,5,81,healthy
38.53,52.87,2,79,healthy
38.95,74.5,4,92,healthy
37.82,56.46,7,84,healthy
39.71,77.11,0,105,sick
38.64,84.89,0,116,sick
39.48,46.2,6,64,healthy
38.94,80.89,4,114,sick
39.02,69.91,4,120,sick
39.1,83.94,0,67,sick
39.01,63.6,8,75,healthy
39.15,78.9,0,107,sick
39.63,47.5,4,120,sick
38.84,58.41,9,74,healthy
39.2,47.68,8,124,sick
38.64,84.01,3,81,healthy
39.71,77.68,7,62,healthy
38.23,79.1,5,113,sick
39.96,82.52,2,73,healthy
38.67,48.4,3,95,healthy
37.7,60.42,1,126,sick
38.79,47.84,0,69,sick
38.22,53.43,7,108,healthy
39.29,54.17,0,124,sick
38.24,63.76,0,116,sick
38.39,55.74,3,86,healthy
37.38,49.04,9,64,healthy
38.38,51.7,9,116,sick
37.0,50.89,5,74,healthy
37.59,83.92,8,89,healthy
39.23,75.37,0,79,sick
39.25,83.71,6,96,healthy
39.0,62.59,9,62,healthy
38.02,56.13,4,100,healthy
38.67,76.93,7,98,healthy
38.7,58.05,6,85,healthy
37.89,56.98,3,61,healthy
39.75,54.3,3,82,healthy
39.31,50.19,5,82,healthy
38.55,55.26,5,75,healthy
38.72,59.21,8,68,healthy
38.85,71.96,4,72,healthy
37.27,47.5,7,87,healthy
38.53,53.42,4,86,healthy
38.22,77.36,1,110,sick
38.0,50.88,5,123,sick
38.5,58.71,8,111,sick
39.96,79.59,2,97,healthy
39.15,51.2,0,124,sick
38.3,48.31,0,77,sick
39.1,64.38,2,122,sick
39.68,57.1,9,110,healthy
39.35,67.54,4,68,healthy
38.74,77.15,2,72,healthy
38.25,50.49,8,99,healthy
39.19,68.23,7,114,sick
38.98,65.22,2,102,healthy
39.33,50.76,8,103,healthy
39.14,69.96,5,127,sick
39.43,55.95,6,92,healthy
38.33,64.51,3,83,healthy
39.62,48.29,3,95,healthy
38.84,63.38,1,69,sick
40.15,57.26,4,79,sick
38.22,77.9,7,71,healthy
39.92,47.28,6,121,sick
38.84,61.74,6,77,healthy
38.24,63.34,5,122,sick
38.36,74.0,2,84,healthy
38.48,67.97,4,71,healthy
39.0,71.69,0,80,sick
39.07,76.08,6,84,healthy
38.3,79.49,8,70,healthy
38.68,57.56,0,123,sick
40.2,66.52,1,109,sick
39.91,78.6,2,121,sick
39.01,84.58,2,108,healthy
38.73,80.58,7,73,healthy
38.78,59.86,6,60,healthy
39.13,52.81,5,84,healthy
37.98,64.58,9,118,sick
38.52,74.67,9,128,sick
37.53,64.7,3,64,healthy
38.98,64.33,8,78,healthy
39.15,78.53,0,82,sick
38.36,59.46,1,68,sick
39.8,79.39,3,109,healthy
37.84,61.27,2,75,healthy
37.67,58.13,0,92,sick
38.86,63.16,4,61,healthy
39.43,75.5,6,73,healthy
39.88,50.04,1,60,sick
38.38,52.86,4,117,sick
39.46,83.06,5,75,healthy
38.67,52.02,6,106,healthy
38.58,67.71,0,103,sick
39.32,68.17,6,73,healthy
39.16,64.58,3,83,healthy
37.6,70.79,7,114,sick
39.73,54.19,3,74,healthy
39.67,67.11,5,93,healthy
38.26,59.89,8,61,healthy
38.98,71.47,4,86,healthy
39.05,50.65,3,82,healthy
38.88,67.84,7,127,sick
38.31,52.41,8,73,healthy
38.23,56.15,3,122,sick
38.68,53.75,2,124,sick
39.52,52.31,7,127,sick
39.08,78.03,4,122,sick
38.44,56.43,1,123,sick
39.24,82.08,9,91,healthy
36.71,83.8,8,72,healthy
39.5,67.85,2,125,sick
37.48,50.72,1,78,sick
38.45,59.98,0,83,sick
37.92,76.91,7,70,healthy
37.79,59.7,2,118,sick
39.51,48.48,6,74,healthy
38.37,67.27,0,69,sick
38.94,78.8,0,100,sick
38.67,76.84,8,86,healthy
39.03,52.0,7,119,sick
38.75,71.91,2,111,sick
37.8,53.82,5,87,healthy
39.4,53.73,2,124,sick
38.35,79.96,3,76,healthy
37.61,54.99,0,103,sick
38.4,55.53,4,69,healthy
39.75,45.03,0,122,sick
39.3,79.83,0,106,sick
38.46,76.7,9,97,healthy
38.46,70.09,6,129,sick
38.47,75.01,5,112,sick
40.15,51.08,1,103,sick
38.97,63.33,1,113,sick
39.0,59.05,6,79,healthy
39.42,48.75,0,90,sick
38.87,64.45,1,66,sick
38.52,81.83,7,117,sick
38.56,46.6,5,69,healthy
38.65,56.66,1,69,sick
38.67,53.3,6,98,healthy
39.21,54.53,3,87,healthy
38.74,81.34,1,89,sick
39.21,63.72,5,96,healthy
38.64,63.65,8,126,sick
38.76,75.42,8,102,healthy
37.3,51.18,7,111,sick
39.34,64.49,2,115,sick
38.94,62.2,2,127,sick
39.4,68.88,1,68,sick
36.67,84.98,4,82,healthy
40.16,75.78,3,122,sick
38.6,60.91,6,120,sick
39.48,78.1,3,99,healthy
37.97,51.83,8,103,healthy
39.13,46.22,1,83,sick
37.96,53.18,5,110,healthy
38.26,58.62,6,117,sick
40.04,65.42,3,92,sick
38.57,69.61,5,75,healthy
38.85,81.42,6,81,healthy
39.31,65.39,3,116,sick
39.05,65.05,7,121,sick
38.81,47.01,8,129,sick
38.96,46.4,0,89,sick
40.38,67.05,6,82,sick
38.66,62.53,8,91,healthy
38.84,78.57,9,116,sick
39.44,51.43,4,68,healthy
39.47,46.0,1,90,sick
39.53,62.96,9,68,healthy
39.15,54.5,5,72,healthy
37.9,46.98,6,117,sick
39.84,73.98,1,62,sick
37.9,49.46,1,94,sick
38.91,69.33,9,80,healthy
38.17,56.24,9,123,sick
38.66,51.94,0,111,sick
38.93,60.19,3,93,healthy
38.92,77.06,6,94,healthy
39.0,60.68,8,74,healthy
39.83,75.03,2,65,healthy
39.02,50.02,6,91,healthy
38.53,75.91,6,111,sick
39.37,54.48,6,87,healthy
39.53,72.1,1,123,sick
37.84,67.63,5,78,healthy
39.12,82.17,1,74,sick
39.19,60.49,5,65,healthy
38.49,47.65,9,97,healthy
39.66,45.77,2,85,healthy
38.59,78.07,1,110,sick
38.79,65.99,5,112,sick
38.58,76.01,1,115,sick
38.71,54.38,4,118,sick
37.93,58.8,1,129,sick
37.69,46.2,2,117,sick
39.82,83.46,2,72,healthy
38.11,71.71,5,102,healthy
38.01,82.33,5,110,healthy
37.19,55.62,9,78,healthy
38.25,69.46,2,80,healthy
37.77,72.14,2,83,healthy
39.85,57.7,0,85,sick
39.41,78.92,6,104,healthy
38.22,82.89,7,87,healthy
40.28,80.39,1,88,sick
39.39,74.56,3,76,healthy
38.47,56.1,9,127,sick
36.95,56.26,6,103,healthy
40.3,83.53,7,120,sick
37.73,45.41,0,127,sick
37.55,73.64,3,84,healthy
39.42,73.25,5,126,sick
40.41,69.91,2,61,sick
39.67,84.6,4,108,healthy
39.09,57.48,9,129,sick
39.12,58.6,8,85,healthy
39.3,48.16,2,86,healthy
39.23,62.71,4,77,healthy
38.9,55.44,7,113,sick
38.77,58.74,5,60,healthy
38.66,78.38,3,120,sick
38.17,82.42,7,62,healthy
38.5,52.43,2,127,sick
37.51,59.9,2,100,healthy
38.63,82.15,3,96,healthy
38.01,47.47,8,110,healthy
37.93,48.69,4,74,healthy
38.83,51.51,7,67,healthy
39.67,68.81,5,97,healthy
39.34,51.02,2,115,sick
37.6,83.72,7,106,healthy
38.01,62.87,8,69,healthy
39.36,65.06,7,108,healthy
38.01,54.87,3,100,healthy
38.54,63.84,5,89,healthy
39.09,71.48,0,64,sick
38.02,75.05,3,90,healthy
38.77,75.15,7,111,sick
37.77,68.12,0,82,sick
38.28,81.17,2,107,healthy
38.92,77.7,0,99,sick
37.58,75.28,8,65,healthy
39.01,47.22,1,97,sick
38.69,45.28,8,100,healthy
39.09,53.5,3,86,healthy
38.86,71.54,1,128,sick
39.65,61.45,3,116,sick
38.79,61.1,9,76,healthy
38.4,80.38,5,106,healthy
38.79,80.82,6,72,healthy
39.08,81.37,2,70,healthy
38.73,57.56,2,83,healthy
38.73,72.64,9,63,healthy
38.21,55.87,7,105,healthy
38.24,52.62,4,77,healthy
37.72,52.39,3,102,healthy
39.92,58.68,6,92,healthy
37.83,62.2,6,69,healthy
38.21,78.24,8,118,sick
38.2,49.8,8,90,healthy
39.33,74.4,4,87,healthy
38.49,66.26,7,119,sick
39.57,56.52,9,62,healthy
38.23,64.71,0,114,sick
38.9,57.0,8,73,healthy
38.12,68.84,7,117,sick
40.2,62.35,5,74,sick
37.87,51.58,2,61,healthy
38.92,49.66,2,83,healthy
39.14,66.87,7,123,sick
38.99,81.1,4,83,healthy
38.57,58.76,9,86,healthy
38.61,74.32,6,96,healthy
38.73,71.35,4,98,healthy
38.6,82.26,7,122,sick
39.37,77.84,9,85,healthy
40.25,67.66,9,124,sick
38.31,71.28,3,63,healthy
37.74,80.94,1,88,sick
38.64,60.98,2,60,healthy
40.51,58.07,7,109,sick
38.14,45.43,6,70,healthy
39.85,78.06,1,118,sick
39.87,77.04,5,121,sick
38.31,49.18,8,95,healthy
39.1,68.07,3,115,sick
39.84,63.56,8,80,healthy
38.43,49.75,1,72,sick
38.56,84.22,1,68,sick
38.29,53.59,8,70,healthy
37.99,47.69,6,129,sick
38.25,68.79,6,60,healthy
37.84,74.55,0,129,sick
38.72,46.3,5,115,sick
38.16,71.35,6,90,healthy
38.86,66.29,5,96,healthy
37.61,49.13,5,106,healthy
38.93,51.9,1,106,sick
39.28,67.72,5,128,sick
37.3,56.85,3,117,sick
38.96,82.53,8,95,healthy
39.56,77.75,0,91,sick
37.85,84.34,7,123,sick
39.87,55.39,4,101,healthy
38.99,83.79,0,107,sick
38.21,62.25,3,89,healthy
38.66,58.9,0,80,sick
39.09,47.01,5,119,sick
38.75,47.11,1,72,sick
39.08,72.68,4,60,healthy
38.06,63.32,6,124,sick
38.82,54.06,1,92,sick
37.71,69.56,5,97,healthy
38.62,55.11,5,84,healthy
38.07,68.11,4,85,healthy
38.19,59.37,4,118,sick
39.57,77.94,2,92,healthy
39.46,77.83,9,100,healthy
39.13,64.09,9,89,healthy
37.94,59.03,1,116,sick
38.48,59.5,6,108,healthy
39.55,77.23,0,107,sick
38.8,58.13,5,108,healthy
40.32,53.36,5,106,sick
38.98,48.39,2,115,sick
38.83,63.67,1,124,sick
38.48,64.29,1,71,sick
38.79,78.64,8,128,sick
38.59,53.85,4,65,healthy
39.2,60.24,6,124,sick
39.37,77.34,4,84,healthy
38.15,77.94,6,60,healthy
37.77,60.38,3,91,healthy
37.41,63.36,7,62,healthy
39.06,57.13,9,108,healthy
37.93,82.3,9,78,healthy
37.19,49.75,6,119,sick
38.97,82.35,9,88,healthy
40.45,72.35,4,109,sick
38.7,66.26,5,61,healthy
39.29,46.31,4,115,sick
38.76,64.02,6,76,healthy
38.63,61.31,1,119,sick
39.34,51.45,4,95,healthy
38.5,71.26,9,120,sick
38.89,83.85,2,76,healthy
38.93,67.49,8,108,healthy
38.23,73.59,5,119,sick
39.39,47.74,9,79,healthy
38.58,61.71,2,109,healthy
38.17,49.65,6,62,healthy
39.08,69.51,3,102,healthy
38.07,82.54,2,116,sick
38.72,71.47,7,109,healthy
38.69,48.07,3,127,sick
39.46,59.19,0,109,sick
39.03,67.03,5,96,healthy
38.68,61.13,9,105,healthy
39.27,78.35,0,101,sick
39.67,77.59,4,74,healthy
39.09,69.47,6,92,healthy
38.71,59.94,5,70,healthy
37.78,55.21,1,79,sick
37.95,49.23,3,83,healthy
38.49,59.2,1,123,sick
38.27,61.53,0,124,sick
38.57,72.03,2,76,healthy
38.74,71.33,2,120,sick
39.07,47.8,6,74,healthy
38.65,60.81,0,110,sick
39.04,52.27,8,86,healthy
38.75,51.27,5,120,sick
37.32,78.09,3,117,sick
38.04,46.68,2,90,healthy
38.6,61.77,2,71,healthy
37.85,51.73,1,105,sick
39.12,80.17,1,90,sick
39.77,67.28,9,91,healthy
39.55,54.26,4,91,healthy
38.55,65.1,8,112,sick
39.74,74.26,1,120,sick
38.8,83.32,1,105,sick
38.46,53.82,5,66,healthy
38.27,80.45,9,63,healthy
38.49,82.37,1,111,sick
38.43,81.66,3,90,healthy
38.82,70.42,5,95,healthy
38.81,70.19,4,113,sick
38.7,61.13,0,113,sick
39.01,75.1,5,76,healthy
39.53,66.25,0,89,sick
39.36,72.1,2,81,healthy
37.66,62.14,9,102,healthy
36.91,74.26,4,86,healthy
39.35,77.98,9,96,healthy
37.74,50.86,4,105,healthy
38.54,78.32,9,94,healthy
37.88,66.61,5,63,healthy
37.44,78.79,9,85,healthy
39.08,62.25,7,78,healthy
39.23,60.16,4,104,healthy
38.3,81.6,0,85,sick
36.89,55.05,4,81,healthy
38.32,78.77,2,117,sick
38.97,64.36,3,122,sick
37.66,65.56,7,87,healthy
38.83,57.34,6,124,sick
38.69,67.92,4,103,healthy
39.11,58.01,1,102,sick
38.78,46.57,5,96,healthy
38.02,55.88,5,125,sick
39.54,45.26,9,76,healthy
38.59,84.13,9,99,healthy
38.68,83.63,5,97,healthy
38.05,60.81,8,120,sick
38.39,74.13,7,68,healthy
38.08,58.83,7,120,sick
38.58,71.84,0,75,sick
39.9,77.22,4,61,healthy
37.74,82.87,6,102,healthy
37.57,61.01,5,101,healthy
39.73,76.33,4,116,sick
38.55,55.64,7,126,sick
38.23,84.61,2,89,healthy
39.43,46.03,5,72,healthy
38.28,69.14,4,78,healthy
39.98,71.38,7,66,healthy
39.17,72.52,3,68,healthy
38.36,49.82,7,113,sick
40.21,82.54,9,120,sick
38.28,52.25,1,61,sick
39.22,69.91,8,109,healthy
38.91,53.91,8,90,healthy
39.61,57.29,9,92,healthy
39.79,66.86,9,70,healthy
38.72,61.69,5,92,healthy
38.17,51.41,3,66,healthy
39.02,51.84,3,90,healthy
38.23,61.73,5,107,healthy
40.11,75.29,4,106,sick
38.8,80.92,5,112,sick
38.44,48.37,6,78,healthy
38.83,60.72,6,65,healthy
37.76,49.01,8,108,healthy
38.02,45.66,7,109,healthy
39.54,71.47,5,71,healthy
38.24,69.1,5,82,healthy
37.97,51.52,4,113,sick
39.08,54.35,0,128,sick
39.53,45.95,8,118,sick
39.2,78.4,8,95,healthy
39.4,83.99,8,62,healthy
38.17,50.42,7,117,sick
37.7,54.26,9,114,sick
39.75,79.74,2,116,sick
38.47,82.06,0,76,sick
38.52,61.79,7,98,healthy
39.63,47.02,6,127,sick
39.09,46.58,4,114,sick
39.02,67.96,9,104,healthy
40.22,60.72,6,60,sick
38.25,46.15,9,80,healthy
39.35,68.33,3,80,healthy
38.74,45.45,8,111,sick
38.89,76.49,9,102,healthy
39.77,57.26,1,111,sick
39.06,46.61,8,126,sick
39.08,68.53,8,103,healthy
39.45,60.91,4,91,healthy
38.44,83.95,0,69,sick
38.11,66.77,6,123,sick
37.97,56.01,9,128,sick
37.32,73.38,9,127,sick
40.14,55.86,3,87,sick
37.93,81.17,8,112,sick
38.55,59.99,5,110,healthy
38.51,66.99,2,112,sick
38.92,47.02,5,63,healthy
39.27,62.04,9,76,healthy
39.3,78.29,5,126,sick
38.29,77.23,4,106,healthy
38.58,53.97,1,115,sick
38.9,54.04,9,82,healthy
38.53,77.69,9,77,healthy
39.83,82.22,1,60,sick
39.04,48.81,6,94,healthy
39.21,63.0,1,123,sick
39.16,58.5,5,117,sick
39.52,79.83,4,118,sick
38.83,48.34,3,60,healthy
37.79,53.45,6,62,healthy
38.98,75.1,7,126,sick
38.24,47.05,3,96,healthy
38.33,64.7,0,88,sick
39.11,62.68,0,92,sick
39.57,58.38,0,120,sick
38.71,60.78,0,63,sick
38.92,66.2,4,73,healthy
39.89,51.45,3,92,healthy
38.87,67.88,8,81,healthy
40.52,77.22,2,107,sick
39.1,75.41,6,62,healthy
37.47,51.16,7,82,healthy
39.23,50.97,5,127,sick
38.97,55.73,9,80,healthy
39.6,59.44,0,102,sick
39.17,61.34,7,85,healthy
38.6,72.19,9,100,healthy
37.84,47.27,2,97,healthy
38.55,46.39,7,70,healthy
38.1,60.68,3,88,healthy
38.29,72.89,7,119,sick
39.11,52.74,0,126,sick
39.87,70.66,2,124,sick
38.98,55.39,5,120,sick
37.86,80.44,8,78,healthy
39.01,80.83,1,105,sick
39.54,56.89,0,108,sick
38.27,54.2,9,81,healthy
38.61,61.45,2,116,sick
38.71,54.62,3,73,healthy
38.15,71.9,4,103,healthy
39.15,78.04,2,75,healthy
38.62,71.92,9,71,healthy
38.99,77.97,1,114,sick
38.08,60.88,1,110,sick
38.39,51.25,6,98,healthy
39.21,74.52,8,92,healthy
38.44,59.42,9,92,healthy
39.91,71.85,1,88,sick
38.42,55.83,6,128,sick
38.86,48.25,6,129,sick
39.35,84.7,6,90,healthy
37.71,51.25,2,90,healthy
37.47,84.54,6,105,healthy
37.63,84.09,0,111,sick
39.58,76.75,9,69,healthy
38.31,71.38,0,100,sick
40.49,68.11,4,62,sick
38.31,79.64,1,118,sick
38.83,56.58,8,111,sick
39.78,63.71,6,93,healthy
40.1,69.78,3,108,sick
40.14,61.45,3,87,sick
39.55,62.1,1,72,sick
39.42,58.21,4,128,sick
39.11,67.57,3,126,sick
39.24,79.02,0,120,sick
38.31,53.06,7,119,sick
38.13,82.38,2,83,healthy
38.7,72.56,5,122,sick
38.58,77.93,3,120,sick
38.38,67.25,8,82,healthy
39.19,76.18,6,89,healthy
39.37,45.65,8,119,sick
38.76,77.74,9,77,healthy
39.73,46.61,2,115,sick
37.9,80.6,0,112,sick
38.56,84.68,4,66,healthy
38.2,56.76,2,128,sick
37.39,53.41,5,111,sick
38.64,75.61,7,63,healthy
38.61,55.12,3,93,healthy
39.76,79.62,4,128,sick
39.14,49.11,4,92,healthy
37.98,50.04,3,128,sick
40.0,84.17,3,97,healthy
39.55,71.95,3,85,healthy
39.11,78.88,3,60,healthy
38.54,57.97,3,63,healthy
38.03,72.06,4,98,healthy
38.44,68.77,1,113,sick
39.46,69.13,1,92,sick
40.02,72.3,8,92,sick
39.78,68.01,1,79,sick
38.36,62.16,5,75,healthy
37.92,56.04,1,80,sick
38.8,75.74,4,104,healthy
37.46,54.05,3,121,sick
38.93,72.69,6,90,healthy
38.6,54.33,6,101,healthy
38.37,70.01,5,71,healthy
37.58,74.88,9,124,sick
39.06,53.75,4,62,healthy
38.33,47.4,0,68,sick
37.88,50.24,2,110,healthy
36.69,69.24,8,75,healthy
38.68,78.98,0,62,sick
39.94,46.8,4,83,healthy
39.86,74.37,1,72,sick
38.38,58.65,3,61,healthy
38.28,64.14,0,80,sick
39.03,82.15,2,78,healthy
38.0,58.28,9,106,healthy
38.91,63.61,6,81,healthy
39.24,45.55,9,92,healthy
39.56,48.26,2,91,healthy
38.63,55.34,3,123,sick
38.56,46.11,1,98,sick
38.09,70.26,2,101,healthy
38.12,62.06,8,68,healthy
38.54,66.93,2,84,healthy
38.96,51.99,4,61,healthy
39.34,56.84,1,78,sick
38.14,71.55,3,79,healthy
39.74,83.61,6,129,sick
38.51,47.02,6,76,healthy
38.69,80.62,2,127,sick
38.18,68.08,4,62,healthy
37.0,67.56,0,110,sick
39.32,65.01,9,85,healthy
39.22,47.78,9,115,sick
38.5,48.6,9,123,sick
38.75,69.04,0,67,sick
39.06,58.64,4,96,healthy
37.61,81.69,9,86,healthy
38.33,61.26,8,104,healthy
39.26,50.73,0,63,sick
37.82,73.59,0,96,sick
38.91,56.73,3,92,healthy
37.75,66.02,3,90,healthy
39.03,72.91,1,114,sick
38.68,81.01,8,71,healthy
37.57,76.69,8,70,healthy
39.52,72.05,1,91,sick
38.19,72.19,8,116,sick
38.13,82.84,5,97,healthy
38.84,56.83,7,119,sick
39.5,45.04,9,78,healthy
37.99,55.88,3,115,sick
38.74,53.72,1,73,sick
39.0,71.47,1,92,sick
39.19,70.35,8,69,healthy
38.82,68.74,0,123,sick
38.44,45.65,6,123,sick
38.12,74.15,2,121,sick
38.76,57.94,2,127,sick
37.95,71.6,1,102,sick
36.66,67.26,9,118,sick
39.01,58.71,5,111,sick
39.33,50.38,9,78,healthy
37.05,48.78,1,80,sick
37.99,78.26,9,81,healthy
39.13,81.74,3,68,healthy
40.14,70.99,9,68,sick
38.71,49.14,8,86,healthy
38.19,61.08,8,76,healthy
38.57,74.16,5,103,healthy
39.66,76.19,3,104,healthy
38.25,49.73,6,67,healthy
38.14,45.0,0,77,sick
38.36,73.49,3,92,healthy
38.03,59.26,4,60,healthy
38.79,55.18,7,65,healthy
39.84,45.52,1,100,sick
38.93,66.61,4,114,sick
38.52,79.05,5,64,healthy
38.5,83.31,4,118,sick
37.61,67.63,8,77,healthy
39.32,65.58,9,108,healthy
38.65,48.4,0,124,sick
38.57,66.95,2,113,sick
40.94,60.2,1,120,sick
38.91,69.29,2,67,healthy
38.17,60.55,9,62,healthy
38.4,54.61,8,84,healthy
39.5,48.8,8,128,sick
38.78,57.6,9,114,sick
37.69,48.87,1,99,sick
39.34,52.08,2,109,healthy
38.23,84.49,3,92,healthy
40.01,62.76,8,77,sick
39.46,66.27,2,116,sick
38.39,79.94,6,75,healthy
39.6,84.82,2,97,healthy
38.75,68.31,6,100,healthy
39.3,77.5,6,66,healthy
39.04,58.08,8,112,sick
38.11,57.23,1,122,sick
38.25,61.11,5,91,healthy
39.42,71.9,8,97,healthy
38.47,72.29,1,81,sick
38.42,57.61,1,75,sick
38.03,50.33,4,111,sick
39.0,70.3,9,88,healthy
40.14,50.13,9,75,sick
37.95,68.14,9,76,healthy
38.72,72.74,7,123,sick
39.69,73.02,8,72,healthy
38.64,75.14,1,115,sick
39.02,79.91,4,64,healthy
37.96,65.0,6,71,healthy
39.0,74.21,5,100,healthy
38.57,69.77,5,62,healthy
39.39,52.47,6,92,healthy
39.53,46.03,2,109,healthy
40.51,56.38,2,115,sick
39.11,62.72,9,68,healthy
38.93,69.68,8,109,healthy
38.84,79.0,7,88,healthy
38.45,52.85,4,98,healthy
38.94,50.02,5,104,healthy
38.49,83.54,9,76,healthy
38.82,49.32,0,115,sick
39.62,64.14,9,105,healthy
38.0,68.42,0,126,sick
39.5,66.65,3,128,sick
39.62,48.44,1,73,sick
38.62,47.28,6,126,sick
37.21,49.22,1,82,sick
38.27,68.42,9,120,sick
39.61,66.77,1,82,sick
38.68,54.35,4,86,healthy
38.0,70.51,3,113,sick
38.35,77.8,7,69,healthy
39.29,46.66,3,75,healthy
39.08,64.93,5,100,healthy
38.53,72.57,4,114,sick
38.44,55.09,1,120,sick
38.43,57.31,7,108,healthy
38.05,69.55,1,111,sick
39.83,80.92,8,61,healthy
38.47,77.4,8,109,healthy
39.55,68.33,2,102,healthy
39.76,74.21,3,67,healthy
39.4,59.59,7,118,sick
38.4,70.64,8,124,sick
38.98,63.65,2,71,healthy
38.68,52.6,4,63,healthy
38.07,73.07,7,100,healthy
38.93,67.26,2,66,healthy
37.87,59.34,6,128,sick
39.53,81.45,7,128,sick
38.37,45.84,9,89,healthy
38.84,57.63,2,65,healthy
38.9,47.28,1,78,sick
38.52,75.66,9,125,sick
39.11,73.08,6,69,healthy
38.37,58.25,8,75,healthy
39.31,72.03,0,96,sick
37.76,60.84,2,91,healthy
38.79,75.25,4,106,healthy
40.06,63.17,2,102,sick
38.0,61.49,0,95,sick
38.23,82.39,6,85,healthy
39.06,55.04,6,69,healthy
38.83,49.82,9,90,healthy
38.95,68.38,7,88,healthy
39.04,83.77,4,64,healthy
39.14,60.11,9,60,healthy
39.48,47.48,4,62,healthy
38.99,58.57,4,126,sick
38.53,65.24,0,94,sick
39.17,51.48,9,74,healthy
40.03,71.32,4,126,sick
38.61,84.91,5,89,healthy
38.02,63.07,0,102,sick
39.47,59.19,6,119,sick
38.62,61.03,0,99,sick
37.18,49.61,1,124,sick
39.29,80.33,1,88,sick
38.33,61.59,4,78,healthy
38.64,60.49,9,62,healthy
38.93,71.39,6,95,healthy
38.83,62.68,0,102,sick
39.2,70.93,9,74,healthy
38.4,47.46,0,100,sick
39.06,77.55,0,95,sick
38.52,82.62,5,92,healthy
39.22,70.95,1,64,sick
39.13,83.18,0,73,sick
38.05,51.06,5,127,sick
39.46,64.1,1,106,sick
38.32,69.07,5,113,sick
39.27,68.27,9,63,healthy
38.96,61.06,7,68,healthy
39.99,58.52,1,112,sick
38.54,50.07,8,119,sick
38.46,60.67,7,105,healthy
38.69,51.51,9,113,sick
38.49,74.37,0,96,sick
39.26,53.35,6,82,healthy
37.57,47.34,9,86,healthy
37.96,67.09,5,129,sick
37.95,68.81,5,125,sick
39.37,79.88,5,120,sick
39.9,68.08,5,110,healthy
38.63,58.82,9,109,healthy
38.58,77.12,6,78,healthy
38.75,66.61,2,60,healthy
39.51,48.17,5,99,healthy
38.05,67.63,2,91,healthy
38.87,81.32,6,81,healthy
39.38,60.85,6,125,sick
39.05,56.85,7,99,healthy
38.83,50.74,1,97,sick
39.4,51.06,8,107,healthy
36.81,62.31,4,114,sick
39.17,68.83,8,114,sick
38.24,48.22,9,110,healthy
37.42,82.58,4,119,sick
39.06,75.21,6,67,healthy
39.66,68.46,8,127,sick
38.6,78.14,3,68,healthy
39.37,48.21,1,61,sick
39.83,64.07,8,129,sick
39.62,70.2,1,118,sick
39.85,78.15,2,78,healthy
39.22,76.34,9,87,healthy
38.75,56.08,1,73,sick
37.58,82.64,2,83,healthy
38.53,49.97,5,103,healthy
38.11,80.01,2,115,sick
40.22,83.84,9,110,sick
38.58,52.09,7,91,healthy
38.79,73.88,5,109,healthy
39.09,46.61,6,100,healthy
38.73,61.22,0,125,sick
39.89,65.65,2,84,healthy
38.26,68.23,2,120,sick
38.84,82.44,1,125,sick
38.18,71.89,6,101,healthy
37.78,64.25,8,124,sick
38.27,77.39,3,95,healthy
38.67,83.02,4,68,healthy
38.4,45.88,2,95,healthy
38.22,84.3,8,97,healthy
37.72,48.45,3,92,healthy
38.64,77.58,4,101,healthy
37.65,56.21,0,120,sick
39.23,50.29,1,105,sick
38.76,62.59,8,120,sick
37.68,70.76,1,77,sick
38.48,60.24,4,129,sick
38.17,47.18,7,74,healthy
38.92,68.98,2,107,healthy
39.64,81.1,5,72,healthy
37.39,60.33,3,102,healthy
38.78,53.65,6,119,sick
38.59,62.7,9,116,sick
39.17,46.93,2,76,healthy
38.85,77.82,5,109,healthy
